amt,city_pop,risk_probability,hour,distance_km,category_entertainment,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
281.06,885,0.712406816,1,68.96272634,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.52,1595797,0.576108072,1,78.44322886,0,0,1,0,0,0,0,0,0,0,0,0,0,0
276.31,1595797,0.642621062,3,41.04842466,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.03,885,0.465529909,3,34.21196343,0,0,1,0,0,0,0,0,0,0,0,0,0,0
275.73,1595797,0.650312135,3,44.12485412,0,0,0,0,1,0,0,0,0,0,0,0,0,0
844.8,885,0.54148198,13,42.59279218,0,0,0,0,0,0,0,0,0,0,0,1,0,0
843.91,885,0.737431408,23,30.97256318,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10.76,1595797,0.608632326,1,91.45293042,0,0,1,0,0,0,0,0,0,0,0,0,0,0
332.35,1595797,0.67088276,1,52.35310397,0,0,0,0,1,0,0,0,0,0,0,0,0,0
315.34,1595797,0.748219266,3,83.28770636,0,0,0,0,1,0,0,0,0,0,0,0,0,0
337.05,1472,0.549902774,16,93.96110966,0,0,0,0,1,0,0,0,0,0,0,0,0,0
711.66,1472,0.785,18,118.9723557,0,0,0,0,0,0,0,0,0,0,0,0,1,0
707.5,1472,0.86304299,22,81.21719608,0,0,0,0,0,0,0,0,1,0,0,0,0,0
942.62,885,0.741304338,22,32.52173506,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.5,1472,0.63,22,116.058818,0,0,0,0,0,0,0,0,0,0,0,0,0,1
821.96,885,0.728553109,23,27.42124368,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1092.68,885,1,23,139.1852261,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1254.27,885,0.92467851,23,69.87140412,0,0,0,0,0,0,0,0,0,0,0,1,0,0
274.09,1595797,0.688204938,23,59.28197521,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.37,145,0.63,0,109.6024641,0,0,0,1,0,0,0,0,0,0,0,0,0,0
316.93,1472,0.79,2,102.1289464,0,0,0,0,1,0,0,0,0,0,0,0,0,0
327.68,1472,0.680744973,2,56.29798934,0,0,0,0,1,0,0,0,0,0,0,0,0,0
966.11,145,0.635182977,15,80.07319064,0,0,0,0,0,0,0,0,0,0,0,1,0,0
795.22,1472,0.505872084,15,28.34883347,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1015.8,1472,0.589358148,15,25.74325935,0,0,0,0,0,0,0,0,0,0,0,0,1,0
722.18,1472,0.67328041,22,5.312163881,0,0,0,0,0,0,0,0,1,0,0,0,0,0
898.81,1472,0.91,22,113.5509198,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1001.63,1472,0.987227323,22,94.89092934,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49.61,145,0.547473889,22,66.9895556,0,0,0,0,0,0,0,0,0,1,0,0,0,0
295.26,145,0.639380146,23,39.75205827,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1099.99,1472,0.818784325,23,27.5137298,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18.17,145,0.574555208,23,77.822083,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20.45,145,0.578039918,3,79.21596724,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18.19,145,0.614257427,3,93.70297081,0,0,1,0,0,0,0,0,0,0,0,0,0,0
367.29,602,0.565,11,106.5158277,0,0,0,0,1,0,0,0,0,0,0,0,0,0
768.15,145,0.629758551,18,37.90342052,0,0,0,0,0,0,0,0,1,0,0,0,0,0
849.49,145,0.831153441,22,68.46137635,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1177.79,602,1,22,101.0248671,0,0,0,0,0,0,0,0,0,0,0,1,0,0
307.09,145,0.661725428,22,48.69017102,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4.58,145,0.47512673,22,38.05069189,0,0,0,0,0,0,0,1,0,0,0,0,0,0
730.78,145,0.828844436,22,67.53777422,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1006.4,145,0.901537324,22,60.61492954,0,0,0,0,0,0,0,0,0,0,0,1,0,0
830.72,145,0.91,22,107.4781197,0,0,0,0,0,0,0,0,0,0,0,0,1,0
311.92,145,0.550986052,23,4.394420773,0,0,0,0,1,0,0,0,0,0,0,0,0,0
762.93,602,0.747170381,23,34.86815238,0,0,0,0,0,0,0,0,0,0,0,0,1,0
855.88,602,0.747254076,18,84.90163059,0,0,0,0,0,0,0,0,0,0,0,1,0,0
909.29,602,0.91,23,110.3783648,0,0,0,0,0,0,0,0,0,0,0,1,0,0
300.14,11253,0.79,4,109.7557228,0,0,0,0,1,0,0,0,0,0,0,0,0,0
967.92,11253,0.842989758,22,73.19590301,0,0,0,0,0,0,0,0,0,0,0,1,0,0
270.01,11253,0.682891283,23,57.15651325,0,0,0,0,1,0,0,0,0,0,0,0,0,0
