amt,city_pop,risk_probability,hour,distance_km,category_entertainment,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
281.06,885,0.7124068158510946,1,68.96272634043781,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.52,1595797,0.5761080721485161,1,78.44322885940646,0,0,1,0,0,0,0,0,0,0,0,0,0,0
276.31,1595797,0.6426210616512692,3,41.04842466050765,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.03,885,0.4655299085717766,3,34.21196342871065,0,0,1,0,0,0,0,0,0,0,0,0,0,0
275.73,1595797,0.6503121352900998,3,44.1248541160399,0,0,0,0,1,0,0,0,0,0,0,0,0,0
844.8,885,0.5414819804601215,13,42.59279218404858,0,0,0,0,0,0,0,0,0,0,0,1,0,0
843.91,885,0.7374314079516844,23,30.97256318067372,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10.76,1595797,0.6086323260525145,1,91.4529304210058,0,0,1,0,0,0,0,0,0,0,0,0,0,0
332.35,1595797,0.6708827599368926,1,52.35310397475704,0,0,0,0,1,0,0,0,0,0,0,0,0,0
315.34,1595797,0.7482192659020416,3,83.28770636081661,0,0,0,0,1,0,0,0,0,0,0,0,0,0
337.05,1472,0.5499027741577864,16,93.96110966311457,0,0,0,0,1,0,0,0,0,0,0,0,0,0
711.66,1472,0.785,18,118.97235572829324,0,0,0,0,0,0,0,0,0,0,0,0,1,0
707.5,1472,0.8630429901942563,22,81.21719607770252,0,0,0,0,0,0,0,0,1,0,0,0,0,0
942.62,885,0.7413043376435154,22,32.521735057406175,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.5,1472,0.63,22,116.05881802341759,0,0,0,0,0,0,0,0,0,0,0,0,0,1
821.96,885,0.7285531091887848,23,27.42124367551392,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1092.68,885,1.0,23,139.1852261425327,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1254.27,885,0.9246785102878292,23,69.87140411513168,0,0,0,0,0,0,0,0,0,0,0,1,0,0
274.09,1595797,0.6882049380324109,23,59.28197521296434,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.37,145,0.63,0,109.602464111095,0,0,0,1,0,0,0,0,0,0,0,0,0,0
316.93,1472,0.79,2,102.12894635148933,0,0,0,0,1,0,0,0,0,0,0,0,0,0
327.68,1472,0.6807449733623552,2,56.29798934494203,0,0,0,0,1,0,0,0,0,0,0,0,0,0
966.11,145,0.6351829766120081,15,80.0731906448032,0,0,0,0,0,0,0,0,0,0,0,1,0,0
795.22,1472,0.5058720836851236,15,28.34883347404943,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1015.8,1472,0.5893581483755997,15,25.743259350239892,0,0,0,0,0,0,0,0,0,0,0,0,1,0
722.18,1472,0.6732804097018334,22,5.312163880733355,0,0,0,0,0,0,0,0,1,0,0,0,0,0
898.81,1472,0.91,22,113.55091981734182,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1001.63,1472,0.9872273233481764,22,94.89092933927051,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49.61,145,0.5474738889964715,22,66.98955559858861,0,0,0,0,0,0,0,0,0,1,0,0,0,0
295.26,145,0.6393801456656957,23,39.752058266278254,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1099.99,1472,0.818784324507407,23,27.513729802962803,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18.17,145,0.57455520750944,23,77.822083003776,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20.45,145,0.5780399180964599,3,79.215967238584,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18.19,145,0.6142574270294704,3,93.70297081178815,0,0,1,0,0,0,0,0,0,0,0,0,0,0
367.29,602,0.5650000000000001,11,106.5158276664612,0,0,0,0,1,0,0,0,0,0,0,0,0,0
768.15,145,0.6297585512905792,18,37.90342051623167,0,0,0,0,0,0,0,0,1,0,0,0,0,0
849.49,145,0.8311534408725256,22,68.46137634901025,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1177.79,602,1.0,22,101.02486713464488,0,0,0,0,0,0,0,0,0,0,0,1,0,0
307.09,145,0.6617254275501538,22,48.69017102006152,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4.58,145,0.4751267297250894,22,38.05069189003576,0,0,0,0,0,0,0,1,0,0,0,0,0,0
730.78,145,0.8288444355616311,22,67.53777422465244,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1006.4,145,0.9015373238472066,22,60.614929538882635,0,0,0,0,0,0,0,0,0,0,0,1,0,0
830.72,145,0.91,22,107.47811970596071,0,0,0,0,0,0,0,0,0,0,0,0,1,0
311.92,145,0.5509860519318033,23,4.394420772721276,0,0,0,0,1,0,0,0,0,0,0,0,0,0
762.93,602,0.747170380951227,23,34.868152380490805,0,0,0,0,0,0,0,0,0,0,0,0,1,0
855.88,602,0.7472540764755945,18,84.90163059023777,0,0,0,0,0,0,0,0,0,0,0,1,0,0
909.29,602,0.91,23,110.37836483226114,0,0,0,0,0,0,0,0,0,0,0,1,0,0
300.14,11253,0.79,4,109.75572279419507,0,0,0,0,1,0,0,0,0,0,0,0,0,0
967.92,11253,0.8429897575248313,22,73.1959030099325,0,0,0,0,0,0,0,0,0,0,0,1,0,0
270.01,11253,0.6828912831366196,23,57.15651325464784,0,0,0,0,1,0,0,0,0,0,0,0,0,0
289.69,11253,0.79,23,101.54668832859569,0,0,0,0,1,0,0,0,0,0,0,0,0,0
311.83,21635,0.79,0,110.61379970459788,0,0,0,0,1,0,0,0,0,0,0,0,0,0
283.19,21635,0.6003736754570826,0,24.149470182833056,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15.82,976,0.5573683777216341,1,70.94735108865363,0,0,1,0,0,0,0,0,0,0,0,0,0,0
296.32,11253,0.7482643478662295,1,83.30573914649179,0,0,0,0,1,0,0,0,0,0,0,0,0,0
334.28,976,0.7540264445873317,1,85.61057783493266,0,0,0,0,1,0,0,0,0,0,0,0,0,0
664.73,1228,0.75,1,131.1733289161108,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8.79,11253,0.63,2,111.02499398238677,0,0,1,0,0,0,0,0,0,0,0,0,0,0
301.55,11253,0.6732501801195296,2,53.30007204781182,0,0,0,0,1,0,0,0,0,0,0,0,0,0
327.26,976,0.7856192132031288,2,98.24768528125148,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1127.56,1228,0.9803260230871548,3,92.13040923486189,0,0,0,0,0,0,0,0,0,0,0,1,0,0
276.41,21635,0.79,3,108.16784509241695,0,0,0,0,1,0,0,0,0,0,0,0,0,0
722.92,1228,0.7786334446754316,3,47.45337787017264,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8.33,976,0.5703576609155699,4,76.14306436622797,0,0,1,0,0,0,0,0,0,0,0,0,0,0
333.09,1228,0.79,4,109.36411920272135,0,0,0,0,1,0,0,0,0,0,0,0,0,0
291.51,21635,0.5650000000000001,11,122.83788440055089,0,0,0,0,1,0,0,0,0,0,0,0,0,0
564.57,1228,0.4955965593157939,16,88.23862372631757,1,0,0,0,0,0,0,0,0,0,0,0,0,0
929.28,1228,0.91,22,105.94614098076963,0,0,0,0,0,0,0,0,0,0,0,0,1,0
